industrySlug,industryPageRef,moduleType,headline,body,statValue,statLabel,mediaImage,mediaImageAlt,buttonLabel,buttonUrl,badgeText,sortOrder,isActive
/industries/wix-seller-financing,,use_of_funds_card,Common funding uses in Wix Seller,TODO: Add 3-5 specific wix seller use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/wix-seller-financing,,qualification_card,What Wix Seller operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/wix-seller-financing,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/ecommerce-business-funding,,use_of_funds_card,Common funding uses in Ecommerce Business,TODO: Add 3-5 specific ecommerce business use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/ecommerce-business-funding,,qualification_card,What Ecommerce Business operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/ecommerce-business-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/restaurant-funding,,use_of_funds_card,Common funding uses in Restaurant,TODO: Add 3-5 specific restaurant use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/restaurant-funding,,qualification_card,What Restaurant operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/restaurant-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/trucking-funding,,use_of_funds_card,Common funding uses in Trucking,TODO: Add 3-5 specific trucking use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/trucking-funding,,qualification_card,What Trucking operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/trucking-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/construction-contractor-funding,,use_of_funds_card,Common funding uses in Construction Contractor,TODO: Add 3-5 specific construction contractor use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/construction-contractor-funding,,qualification_card,What Construction Contractor operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/construction-contractor-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/medical-practice-funding,,use_of_funds_card,Common funding uses in Medical Practice,TODO: Add 3-5 specific medical practice use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/medical-practice-funding,,qualification_card,What Medical Practice operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/medical-practice-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/dental-practice-funding,,use_of_funds_card,Common funding uses in Dental Practice,TODO: Add 3-5 specific dental practice use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/dental-practice-funding,,qualification_card,What Dental Practice operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/dental-practice-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/veterinary-practice-funding,,use_of_funds_card,Common funding uses in Veterinary Practice,TODO: Add 3-5 specific veterinary practice use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/veterinary-practice-funding,,qualification_card,What Veterinary Practice operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/veterinary-practice-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/auto-repair-shop-funding,,use_of_funds_card,Common funding uses in Auto Repair Shop,TODO: Add 3-5 specific auto repair shop use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/auto-repair-shop-funding,,qualification_card,What Auto Repair Shop operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/auto-repair-shop-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/salon-spa-business-funding,,use_of_funds_card,Common funding uses in Salon Spa Business,TODO: Add 3-5 specific salon spa business use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/salon-spa-business-funding,,qualification_card,What Salon Spa Business operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/salon-spa-business-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/wholesale-distributor-funding,,use_of_funds_card,Common funding uses in Wholesale Distributor,TODO: Add 3-5 specific wholesale distributor use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/wholesale-distributor-funding,,qualification_card,What Wholesale Distributor operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/wholesale-distributor-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/manufacturing-business-funding,,use_of_funds_card,Common funding uses in Manufacturing Business,TODO: Add 3-5 specific manufacturing business use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/manufacturing-business-funding,,qualification_card,What Manufacturing Business operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/manufacturing-business-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/staffing-agency-funding,,use_of_funds_card,Common funding uses in Staffing Agency,TODO: Add 3-5 specific staffing agency use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/staffing-agency-funding,,qualification_card,What Staffing Agency operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/staffing-agency-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/law-firm-funding,,use_of_funds_card,Common funding uses in Law Firm,TODO: Add 3-5 specific law firm use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/law-firm-funding,,qualification_card,What Law Firm operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/law-firm-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
/industries/home-services-funding,,use_of_funds_card,Common funding uses in Home Services,TODO: Add 3-5 specific home services use-of-funds bullets backed by real cases.,,,,,Start Your Application,/apply,Common Need,1,true
/industries/home-services-funding,,qualification_card,What Home Services operators should have ready,TODO: Add concrete qualification and documentation prep items.,,,,,Talk With Our Team,/contact,Preparation,2,true
/industries/home-services-funding,,process_card,How the review process works,"TODO: Add factual, step-by-step process guidance with no guaranteed outcome claims.",,,,,Start Your Application,/apply,Process,3,true
